n03114379, Tea cosy
n03898633, Patchwork
n02820210, Bedding
n02699770, Altarpiece
n02739550, Wardrobe
n03380724, Footstool
n00464894, Golf
n01787835, Atlantic horseshoe crab, Horseshoe crab
n04477219, Treadmill
n02891788, Brass
n02084071, Working dog
n02918595, Bumper (car)
n04478512, Trellis (architecture)
n03548402, Hula hoop
n02987492, Sabre
n04217882, Signage
n09988063, Father
n00442847, Swimming
n03309808, Textile
n12282933, Betula nigra
n01318894, Pet
n03986704, Portico
n04388743, Storage tank
n04459909, -
n04020298, Pulley
n02430045, Deer
n03219135, Doll
n03525074, Hoist (device)
n03613592, Computer keyboard, Key (instrument)
n04381587, Table tennis
n02827606, Belt (clothing)
n03818343, Neon lamp
n08596076, Littoral zone
n04072551, Rein
n03753077, Measuring instrument
n04585745, Winch, Windlass
n03717447, Manhole
n02411999, -
n00468480, American football
n04411264, Tent
n04099175, Rocket, Rocket engine
n00447073, Sledding
n04373894, Sword
n02954163, Tent
n04102406, Roller coaster
n03699591, Machete
n04490091, Truck
n04101701, Roller skates, Inline skates
n09433442, Shore
n03432129, Gear stick
n04166281, Sedan (automobile)
n03665366, Electric light
n09437454, Grade (slope)
n12882945, Digitalis purpurea
n04282872, Split-rail fence
n02826886, Bell tower
n09303008, Hill
n00442115, Swimming, Swimming (sport)
n00448872, Roller skating, Inline skating
n09406793, Reef, Coral reef
n02090827, Greyhound
n12890265, Veronica (plant)
n09218641, Mountain
n03128519, Cream (pharmaceutical)
n03064935, Gear
n04295881, Stadium
n09447666, Beach
n02083346, Canidae
n11715430, Nymphaea odorata
n07719213, Asparagus
n09428628, Coast
n12475242, Xerochrysum bracteatum, Centaurea cyanus
n04505036, Typewriter
n04590553, Windshield
n13054073, Agaric
n03098140, Control panel (engineering)
n04527648, Veranda
n02461128, Tamandua, Southern tamandua
n07606669, Jelly bean
n04970470, Lavandula
n11728099, Caltha palustris, Primula veris
n11735053, Hepatica
n02980036, Caster
n00480211, Volleyball
n03795758, Movement (clockwork)
n03467984, Handgun
n03261776, Headphones
n02933112, Cabinetry
n00434075, Acrobatics
n00466630, Match play
n03158885, Dagger
n03307792, USB mass storage device class
n02274259, Butterfly
n04003856, -
n10401331, Parrot
n04499446, Towel, Terrycloth
n04965179, Orange (colour)
n09988493, Dalai Lama
n00475787, Softball
n03356858, Flange
n13905792, Wrinkle
n01532325, American goldfinch
n08616050, Pasture
n04053508, Rangefinder
n00440382, Long jump
n09326662, Hillock, Hummock, Mound
n03614007, Computer keyboard
n02692086, Propeller
n04574999, Wheel
n02275773, Small tortoiseshell
n03624134, Knife
n04379964, Table (furniture)
n00479076, Basketball, Tennis
n03075634, Combine harvester
n00454395, Fly fishing
n09217230, Beach
n04297750, Stained glass
n04469003, Tram, Tramway track
n13142504, Vaccinium vitis-idaea
n04054361, Rapier
n00447540, Wrestling, Grappling
n04243941, Slot machine
n03087069, Concrete mixer
n04128413, Sail
n12620196, Rose
n04395106, Tartan
n00451635, Motorcycling
n03766044, Milling (machining)
n09361517, Mountain
n00482298, Tennis
n03064758, Coffin
n03327691, Foil (fencing), Épée
n04118021, Carpet
n02100399, Setter
n00483313, Tennis
n02920369, Hazard (golf)
n02101108, Spaniel
n09916348, Chief executive officer
n04379243, Table (furniture)
n10142391, Grandparent
n04506289, Ukulele
n03396074, Fret
n03467517, Guitar
n02732827, Pergola
n04196502, Merchant ship
n02852173, Flash (photography), Automotive lighting
n00440509, High jump
n04161981, Seat
n03222516, Doorbell
n00453396, Waterfowl hunting
n02946127, Bell tower, Belfry (architecture)
n03716966, Mandolin
n02855089, Hair dryer
n01893825, Hedgehog, European hedgehog
n03626760, Door knocker
n00449054, Skateboarding
n02099029, Retriever
n04565375, Weapon
n03968293, AC power plugs and sockets, Electrical connector
n03175189, Denim
n03151077, Curtain
n03394272, Rail freight transport, Truck
n01610955, Falcon
n01846331, Duck
n03996416, Power shovel
n02278024, Polygonia c-album, Polygonia comma
n02782778, Baseball park
n00288000, Dressage
n00446804, Sparring
n03047052, Clock tower
n00470966, Rugby football
n02898711, Bridge
n00463543, Ice hockey
n04545305, Baby walker
n00471613, Baseball
n00448748, Figure skating
n03405725, Furniture
n01503061, Bird
n03844045, Kerosene lamp, Oil lamp
n00454624, Casting (fishing)
n04136510, Sash window
n03046257, Clock
n03146846, Cultivator
n09270735, Dune
n03863262, Boilersuit
n02705429, Amphora
n03928814, Musical keyboard
n03343853, Firearm
n09403734, Mountain range
n03918480, Personal computer
n10117851, Girl
n04433585, Railroad tie
n00445685, Sculling, Rowing
n03676759, Liquid-crystal display
n02793089, Baritone horn
n02377480, Mare
n04285965, Sport utility vehicle
n04403638, Telescope
n04492375, Truss
n03359137, Flashlight
n09303528, Hill
n01323599, Thoroughbred
n09206985, Mountaineering, Climbing
n00445802, Boxing
n04473108, Fanlight
n01900150, Hair
n12041446, Orchidaceae
n04273796, Speedometer
n00448232, Sumo
n04231272, Skirt
n02908217, Brush
n02281015, Pieris rapae
n11544015, Hepatica
n00483705, Real tennis
n04571292, Weight training
n09287968, Geological formation
n03033986, Printed circuit board
n03636248, Light fixture
n12606545, Tradescantia
n01874928, Opossum
n00825773, Judo
n04164868, Writing table, Secretary desk
n00480993, Basketball
n02124313, Abyssinian cat
n03894379, Room divider
n04257790, Solar panel
n04563204, Water wheel
n09475044, -
n02279257, Aglais io
n02810471, Electric battery
n02872752, Boot
n11953610, Chicory
n04112147, Rotor (electric)
n00464478, Water polo
n01605630, Hawk
n02715229, Antenna (radio)
n00469651, American football
n03108853, Bung
n04338517, String instrument
n12719684, Tropaeolum
n03329302, Ferris wheel
n04148703, Sconce (light fixture)
n03287733, Engine
n03029197, Steeple
n00523513, Sport, Athletics (physical culture)
n04191595, Shelter (building)
n00449517, Auto racing
n03823111, Fountain pen, Nib (pen)
n04395651, Tattoo
n07868340, Fried rice
n07758680, Grape
n00441824, List of water sports, List of surface water sports
n00463246, Sport
n11848479, Night-blooming cereus
n02813399, Bay window, Bow window
n09415584, Bank (geography)
n03470629, Trigger (firearms)
n00475014, No-hitter
n03063485, Coffee preparation, Burr mill
n03800933, Musical instrument
n03696301, Roof rack
n04027023, Push-button
n09233446, Canyon
n09409512, Ridge
n02740300, Armoured personnel carrier
n02818832, Bed
n04313503, Steering wheel
n02484322, Monkey
n00450335, Equitation, Equestrianism
n00450700, List of equestrian sports, Equestrianism
n02122948, Kitten
n13876561, Helix, Spiral
n03168107, Deck (building)
n02767433, Backrest, Chair
n04256520, Couch
n04450640, Toner (skin care)
n12987056, Lichen
n12582231, Arecaceae
n02938886, Calculator
n02848216, Blade
n02804252, Tuba
n09359803, Mountain
n03163222, Dashboard
n03858418, Ottoman (furniture)
n00452293, Hunting
n04520170, Van
n03854815, Organ pipe, Pipe organ
n02774921, Baggage
n02947818, Candelabra
n09265620, -
n02993368, Censer, Thurible
n02509515, Coati, White-nosed coati
n03379204, Football stadium, Soccer-specific stadium, Stadium
n03405265, Furniture
n02433925, Reindeer
n08614632, Bull riding, Rodeo
n02769963, Tent
n02970408, Tote bag
n04404997, Professional video camera
n00445055, Surfing
n02887970, Bracelet, Bangle
n03593526, Jar
n03082979, Computer, Personal computer
n00454237, Angling
n04289027, Irrigation sprinkler
n04587404, Windmill, Wind turbine
n02978055, Casket
n00449695, Boat racing, Rowing (sport)
n02472987, Human
n03693474, Couch
n04121511, Sabre
n02700064, Alternator
n02761392, Automaton, Robot
n03767203, Water wheel
n02374149, Equidae
n00439826, Track and field
n03699975, Machine
n00433802, Gymnastics
n00445226, Water skiing
n04543772, Wagon, Wheel
n02076196, Pinniped
n03665924, Incandescent light bulb, Electric light
n03096960, Game controller
n03015254, Chest of drawers
n12091377, Primula veris
n04587559, Windmill
n03201035, Table (furniture), Dining room
n04011827, Propeller
n03904657, Pediment
n03791235, Car
n03098959, -
n03970546, Stuffed toy
n02131653, Bear, Polar bear
n12352287, -
n12914923, Verbena, Verbenaceae
n01887787, Cattle, Dairy cattle
n04004475, Printer (computing)
n02686379, Air conditioning
n02392824, White rhinoceros
n03596543, Jet airliner
n04518132, Vacuum flask
n01859190, Mute swan
n11669921, Flower
n02159955, Insect
n04591517, Wind turbine
n03689157, Loom
n02946348, Motorhome
n04333129, Strap
n02424305, Kudu
n03389611, Four-wheel drive
n04552696, Warship
n12833149, Saintpaulia
n03536122, Tailplane
n02836035, Bicycle wheel
n03294048, Equipment
n04185946, Shaving brush
n02120997, Felidae
n03409393, Gable
n04160847, Searchlight
n12836862, Phacelia
n02329401, Rodent
n04549122, Wall unit
n03063968, Coffee table
n03355768, Flagon
n03211789, Display window
n03302671, Stationary bicycle
n02482650, Bonobo
n02077152, Fur seal
n04165409, Couch
n02811204, Batting glove
n12024445, Taraxacum officinale
n03363549, Flintlock
n03927091, Micrograph
n02900160, Bridle
n02282903, Theclinae
n03475581, Hairbrush
n04383839, Taffeta
n02769290, Backhoe
n12061380, Encyclia tampensis
n03426134, Fuel tank
n04592099, Wine glass
n03931765, Picture frame
n02121808, Cat
n04222470, Single-breasted
n12360108, Begonia
n02811350, Batting helmet
n04004210, Printed circuit board
n04168199, Segway
n03202354, Table (furniture)
n01541922, Towhee
n03046921, Alarm clock
n03445617, Golf equipment
n03889726, Parasailing
n04593077, Wing chair
n12937130, Daucus carota
n02054711, Anhinga
n02277094, Limenitis arthemis
n03037709, Clarinet
n02092468, Terrier
n03986562, Porthole
n12477163, Agave americana
n03421485, Basic knitted fabrics
n02812949, Bayonet
n02948557, Candlestick
n02790669, Barbecue
n03031422, Lighter
n04544325, Panelling
n04138261, Satin
n02508021, Raccoon
n02276355, Vanessa atalanta
n12810595, Phlox
n02738535, Chair
n02075296, Carnivore
n12038585, Campanula persicifolia
n01814217, Mourning dove
n12547503, Lupinus texensis
n02210427, Andrena
n03859000, Outboard motor
n03797182, Scarf
n03207835, Dishcloth
n03240892, Drill
n03454536, Grating
n03772584, Clock face
n04289690, Sprocket
n04453156, Toothbrush
n02979290, Cassette deck
n12726670, Salix babylonica
n03577090, Integrated circuit
n04224842, Sitar
n02783994, Baluster
n04026813, Bicycle
n04099003, Rocker arm
n02432291, White-tailed deer
n03592669, Jalousie window
n12821505, Mertensia virginica
n11815491, Silene
n03231368, Drawing board
n03678558, Waste container
n02867966, Flight jacket
n02962200, Carburetor
n04201733, Shooting-brake
n03066849, Colander
n12844939, Coleus
n04340750, Safe
n04589593, Window
n12328567, Lythrum salicaria
n03123553, Quilt
n12685431, Geranium
n02428508, Gemsbok
n01598588, Shrike
n02364520, Caviidae
n01640846, True frog
n02383231, Thoroughbred
n04214046, Sideboard
n02377388, Gelding
n02831595, Bermuda shorts
n12683407, Scabiosa
n02268148, Odonata
n04459362, Towel
n03233123, Drapery
n04303497, Stapler
n03085219, Computer monitor
n04404817, Television antenna
n12909421, Petunia
n04539794, Voile
n03914337, -
n01322898, -
n03985232, Laptop, Portable computer
n04028764, Transmission tower
n02367492, Long-tailed chinchilla, Chinchilla
n02343320, Golden hamster
n02132788, Kodiak bear
n02052204, American white pelican
n02302969, Luna moth
n02069974, Common bottlenose dolphin
n03374649, Flywheel
n02485536, Vervet monkey
n02133704, Asian black bear
n03487090, Bicycle handlebar
n01945143, Cornu aspersum
n12293723, Gentiana
n02283201, Moth
n02413131, Sheep
n01953361, Cowrie
n03789946, Engine
n02404432, Texas Longhorn
n02382750, Welsh Pony and Cob
n12791064, Philadelphus
n02445004, North American river otter
n02356381, Eastern gray squirrel
n01944955, Cornu aspersum
n02056228, Adélie penguin
n02007284, Roseate spoonbill
n02433546, Roe deer
n02056728, Emperor penguin
n04427715, -
n02710201, Humanoid robot
n04064401, Phonograph
n03643737, -
n04603399, Workstation
